City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,294.12,95,23,2.79,ZA,1706913570
1,waitangi,-43.9535,-176.5597,287.49,95,100,1.79,NZ,1706913701
2,lata,40.1629,-8.3327,283.66,84,35,1.65,PT,1706913702
3,yellowknife,62.456,-114.3525,262.75,95,100,2.57,CA,1706913702
4,hammerfest,70.6634,23.6821,265.4,93,0,0.51,NO,1706913702
5,ivdel',60.6911,60.4206,258.81,97,100,2.0,RU,1706913702
6,jamestown,42.097,-79.2353,274.55,97,100,4.12,US,1706913890
7,edinburgh of the seven seas,-37.0676,-12.3116,291.73,91,26,7.2,SH,1706914163
8,hawaiian paradise park,19.5933,-154.9731,296.98,95,100,8.75,US,1706913703
9,longyearbyen,78.2186,15.6401,262.06,85,40,1.54,SJ,1706913703
10,invercargill,-46.4,168.35,285.38,81,98,4.92,NZ,1706913703
11,port-aux-francais,-49.35,70.2167,280.27,94,49,7.48,TF,1706913703
12,badger,64.8,-147.5333,242.43,71,40,0.0,US,1706913891
13,madhogarh,26.276,79.1869,283.16,51,0,3.19,IN,1706913891
14,adamstown,-25.066,-130.1015,298.24,80,28,3.45,PN,1706913891
15,ouadda,8.0777,22.4007,291.26,25,8,1.99,CF,1706914164
16,xining,36.6167,101.7667,265.3,94,100,0.92,CN,1706914164
17,port shepstone,-30.7414,30.455,296.7,84,65,10.12,ZA,1706913704
18,bilibino,68.0546,166.4372,245.71,89,43,2.24,RU,1706913705
19,zabol,32.25,67.25,274.42,92,100,6.08,AF,1706913892
20,selfoss,63.9331,-20.9971,270.95,63,98,16.89,IS,1706913892
21,port elizabeth,-33.918,25.5701,293.76,95,75,3.6,ZA,1706913892
22,armacao de buzios,-22.7469,-41.8817,300.18,90,100,1.43,BR,1706913892
23,papao,-17.75,-149.55,303.97,72,100,3.54,PF,1706914166
24,qashyr,53.0675,76.1036,262.41,95,100,4.31,KZ,1706913705
